user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561198126250956/,0,0.2 ,"
				79 of 99 people (80%) found this review helpful3 people found this review funny			","5, 2014
												Horrible game. No open free hunt modes. All arcade and tell you what to hunt. Wish I could get my money back!!			"
http://steamcommunity.com/id/crowfeathers/,0,1.5 ,"
				44 of 69 people (64%) found this review helpful1 person found this review funny			","er 26, 2013
												unrealistic, but most importantly really damn boring. you're better off buying literally any of the other cabelas titles on steam, even hunting expeditions.			"
http://steamcommunity.com/profiles/76561198024347688/,0,0.4 ,"
				19 of 32 people (59%) found this review helpful1 person found this review funny			"," 2014
												Not what i was expecting very boring game.			"
http://steamcommunity.com/profiles/76561198126760961/,0,0.3 ,"
				3 of 3 people (100%) found this review helpful			"," 2, 2015
												terrible			"
http://steamcommunity.com/profiles/76561198125023640/,0,1.3 ,"
				3 of 3 people (100%) found this review helpful			"," 27, 2015
												terrible i want my money back. this game is garbage			"
http://steamcommunity.com/id/rkraz/,0,0.4 ,"
				1 person found this review helpful			","ber 8, 2015
												Waste of money. Wishing I could atleast take it away from my list of steam games... A stain on my library to say the least.			"
http://steamcommunity.com/profiles/76561198012542887/,0,0.3 ,"
				8 of 15 people (53%) found this review helpful1 person found this review funny			"," 2014
												Mmm pretty ordinary game. If you are looking for a game that replica's a REAL hunt. This is NOT it!!			"
http://steamcommunity.com/profiles/76561198034301509/,0,10.5,"
				30 of 33 people (91%) found this review helpful1 person found this review funny			","er 2, 2014
												If your looking for a quick game to kill time then this is the game for you. If you enjoyed the traditional hunting games then stay away.The worst part is that it feels like your a hunter on one of those staged hunts for rich people that the closest thing they got to a deer was when they setup their santa sleigh decorations. It feels like these animals were put there just to be shot. \it does not feel like a hunter game. Try the African Hunts instead of this thing.			"
http://steamcommunity.com/id/Attckcat/,0,31.5,"
				16 of 19 people (84%) found this review helpful4 people found this review funny			","r 14, 2014
												Pretty boring port of a pretty boring game.Unlike the other Cabella games on steam which usually involve open world traveling, sneaking, tracking, etc, this game just consists of 96 ( why 96 and not 100? No Idea.) hunting galleries.You drop in random maps, shoot a few things, and hopefully score enough for a medal. Every 4 maps you pop back to the menu screen, to admire your stats and items I guess.It's sort of a crummy mix of arcade shooting and actual hunting. For some reason, you can get bonus powerups, such as x-ray vision and bullet time, as well as a free skill that basically highlights anything shootable in the area.You CAN move around but you move so slow and the maps are so small that there's not really much point. Which probably explains why you can't rebind your controls.Strangely enough, and this was never explained ANYWHERE, you can pull up the unlocks menu, and equip any items in the game at a moments notice, from scents to weapon sights to pistols to shotguns.The game is around 8 hours or less, but I usually got bored and walked away to do something else and just forgot to come back.If you want a quick arcadey shooting game to waste time on, then have fun with this. If you enjoy the style of the other Cabela games on Steam, you might want to just skip this.			"
http://steamcommunity.com/profiles/76561198143466520/,0,2.0 ,"
				8 of 14 people (57%) found this review helpful1 person found this review funny			",", 2014
												this game sucks so bad. was looking for a hunting game where i could actually run around and hunt. but this throws you in a tiny space with sucky guns, you can move anywhere at all, and the gra[hics are terrible. DO NOT BUY THIS GAME. I WOULDNT PLAY IT EVEN IF IT WAS FREE			"
