user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561198130350190/,0,0.3 hrs on record,"
				35 of 39 people (90%) found this review helpful1 person found this review funny			","
Posted: April 19, 2014
												this is a rip off you can get in on the giants developer website for free this is a scam avoid this add on pack			"
http://steamcommunity.com/id/PaulBaumer/,0,8.3 hrs on record,"
				34 of 40 people (85%) found this review helpful			","
Posted: June 22, 2014
												Go To Giants website you can whatch these episodes Free!  Not worth buying on steam.			"
http://steamcommunity.com/profiles/76561197970426561/,0,2.2 hrs on record,"
				21 of 23 people (91%) found this review helpful			","
Posted: August 19, 2014
												Rip-off and a waste of money.  There are no tutorials here.  Just tells you what software you need to go buy to make mods.  I can't believe they even charge for this.			"
http://steamcommunity.com/profiles/76561198068983591/,0,0.2 hrs on record,"
				18 of 24 people (75%) found this review helpful			","
Posted: June 26, 2014
												useless			"
http://steamcommunity.com/profiles/76561198107253827/,0,0.0 hrs on record,"
				7 of 10 people (70%) found this review helpful2 people found this review funny			","
Posted: February 7, 2015
												super laggy. you can whtch for free on the web site			"
http://steamcommunity.com/profiles/76561198143928518/,0,0.0 hrs on record,"
				3 of 5 people (60%) found this review helpful3 people found this review funny			","
Posted: June 14, 2015
												banana!			"
http://steamcommunity.com/profiles/76561198041392812/,1,50.9 hrs on record,"
				20 of 40 people (50%) found this review helpful1 person found this review funny			","
Posted: December 14, 2013
												it is hard to learn "
http://steamcommunity.com/profiles/76561198083572422/,0,0.2 hrs on record,"
				15 of 32 people (47%) found this review helpful1 person found this review funny			","
Posted: March 6, 2014
												NEVER BUY IT. IT SUCK AND I HATE IT  HATE THIS			"
http://steamcommunity.com/profiles/76561197997589455/,1,11.4 hrs on record,"
				3 of 8 people (38%) found this review helpful			","
Posted: November 2, 2014
												Very useful video on creating your own maps or edit an existing one. Especially for those who have not worked with various 3D editors.			"
http://steamcommunity.com/id/Cocainetitties/,1,0.0 hrs on record,"
				0 of 4 people (0%) found this review helpful1 person found this review funny			","
Posted: March 12, 2015
												Its pretty good. I would rep it and I use it a lot.			"
http://steamcommunity.com/id/jacobroom/,1,1.3 hrs on record,"
				8 of 22 people (36%) found this review helpful			","
Posted: November 28, 2013
												This tool looks like it will help me a bunch! I haven't used it yet though because the window is too big. I've tried moving it around and tried the maximize button however nothing works. Please help me out here? "
http://steamcommunity.com/id/User345012435/,0,4.8 hrs on record,"
				18 of 46 people (39%) found this review helpful			","
Posted: January 27, 2014
												no			"
http://steamcommunity.com/profiles/76561198044986937/,0,0.0 hrs on record,"
				No ratings yet			","
Posted: July 6, 2016
												COULD NOT GET IT TO RUN.			"
http://steamcommunity.com/id/jayt5661/,1,0.3 hrs on record,"
				1 of 12 people (8%) found this review helpful1 person found this review funny			","
Posted: January 10, 2015
												for all Farmers out there i have a fan Page on Facebook if you would like to join us please join here https://www.facebook.com/groups/807252639297955/ all is welcome			"
